ID,Name,Level,Rating,Tags,link
scp-097,Old Fairgrounds,Euclid,553,"['location', 'mind-affecting', 'plant', 'sleep', 'vehicle']",https://scp-wiki.wikidot.com/scp-097
scp-098,Surgeon Crabs,Safe,421,"['alive', 'crustacean', 'featured', 'species']",https://scp-wiki.wikidot.com/scp-098
scp-099,The Portrait,Safe,363,"['artistic', 'cognitohazard', 'mind-affecting', 'rewrite', 'visual']",https://scp-wiki.wikidot.com/scp-099
scp-100,"""Jamaican Joe's Junkyard Jubilee""",Euclid,453,"['humanoid', 'location', 'sapient']",https://scp-wiki.wikidot.com/scp-100
scp-101,Hungry Bag,Euclid,284,"['alive', 'artifact', 'extradimensional', 'meta', 'metamorphic', 'predatory']",https://scp-wiki.wikidot.com/scp-101
scp-102,"Property of Marshall, Carter, and Dark Ltd.",Euclid,79,"['building', 'featured', 'intangible', 'marshall-carter-and-dark', 'sensory', 'transfiguration']",https://scp-wiki.wikidot.com/scp-102
scp-103,The Never-Hungry Man,No_official_classes_included_in_tags,-27,"['in-rewrite', 'rewrite']",https://scp-wiki.wikidot.com/scp-103
scp-104,The Lonely Ball,Euclid,114,"['autonomous', 'self-repairing', 'sphere', 'teleportation']",https://scp-wiki.wikidot.com/scp-104
scp-105,"""Iris""",Safe,1039,"['alive', 'co-authored', 'humanoid', 'photographic', 'rewrite', 'sapient', 'telekinetic']",https://scp-wiki.wikidot.com/scp-105
scp-106,The Old Man,Keter,3081,"['corrosive', 'extradimensional', 'hostile', 'humanoid', 'sapient']",https://scp-wiki.wikidot.com/scp-106
scp-107,The Turtle Shell,Safe,373,"['biological', 'ectoentropic', 'entropic', 'meteorological', 'skeletal']",https://scp-wiki.wikidot.com/scp-107
scp-108,Extradimensional Nasal Cavity,Safe,532,"['alive', 'humanoid', 'military', 'portal', 'structure']",https://scp-wiki.wikidot.com/scp-108
scp-109,Infinite Canteen,Euclid,282,"['artifact', 'ectoentropic', 'entropic', 'liquid']",https://scp-wiki.wikidot.com/scp-109
scp-110,Subterranean City,Euclid,325,"['city', 'future', 'geological', 'subterranean', 'teleportation', 'temporal']",https://scp-wiki.wikidot.com/scp-110
scp-111,Dragon-Snails™,Safe,755,"['alive', 'animal', 'dr-wondertainment', 'fire', 'invertebrate', 'species']",https://scp-wiki.wikidot.com/scp-111
scp-112,The Variable Coaster,Euclid,511,"['extradimensional', 'structure', 'temporal']",https://scp-wiki.wikidot.com/scp-112
scp-113,The Gender-Switcher,Safe,657,"['reproductive', 'rewrite', 'tactile', 'transfiguration']",https://scp-wiki.wikidot.com/scp-113
scp-114,Bringer of Conflict,Euclid,146,"['alive', 'humanoid', 'mind-affecting', 'rewrite', 'sapient']",https://scp-wiki.wikidot.com/scp-114
scp-115,Miniature Dump Truck,Safe,351,"['miniature', 'toy', 'vehicle']",https://scp-wiki.wikidot.com/scp-115
scp-116,The Brittle Boy,Euclid,47,"['alive', 'humanoid', 'language', 'mind-affecting', 'transfiguration']",https://scp-wiki.wikidot.com/scp-116
scp-117,Complete Multitool,Safe,62,"['meta', 'metamorphic', 'telepathic', 'tool', 'weapon']",https://scp-wiki.wikidot.com/scp-117
scp-118,Nuclear Protists,Euclid,241,"['alive', 'aquatic', 'microscopic', 'species']",https://scp-wiki.wikidot.com/scp-118
scp-119,Timecrowave,Euclid,406,"['appliance', 'electrical', 'radioactive', 'temporal']",https://scp-wiki.wikidot.com/scp-119
scp-120,Teleporting Paddling Pool,Safe,562,"['artifact', 'indestructible', 'liquid', 'portal', 'teleportation']",https://scp-wiki.wikidot.com/scp-120
scp-121,Concrete Cradle,Euclid,294,"['airborne', 'city', 'meta', 'metamorphic', 'meteorological']",https://scp-wiki.wikidot.com/scp-121
scp-122,no more monstɘrs.,Thaumiel,257,"['appliance', 'co-authored', 'electrical', 'hallucination', 'humanoid', 'light', 'mind-affecting', 'religious', 'rewrite', 'shadow', 'sleep']",https://scp-wiki.wikidot.com/scp-122
scp-123,Contained Miniature Black Hole,Euclid,373,"['gravity', 'spatial', 'sphere']",https://scp-wiki.wikidot.com/scp-123
scp-124,Fertile Soil,Euclid,330,"['biological', 'transfiguration']",https://scp-wiki.wikidot.com/scp-124
scp-125,Contagious Reflection,Euclid,95,"['contagion', 'ocular', 'transfiguration', 'visual']",https://scp-wiki.wikidot.com/scp-125
scp-126,Invisible Friend,Euclid,240,"['acoustic', 'humanoid', 'intangible', 'mind-affecting', 'rewrite', 'sapient']",https://scp-wiki.wikidot.com/scp-126
scp-127,The Living Gun,Safe,569,"['biological', 'dental', 'self-repairing', 'weapon']",https://scp-wiki.wikidot.com/scp-127
scp-128,Kinetic Energy Entity,Euclid,300,"['amorphous', 'ectoentropic', 'entropic', 'rewrite', 'telekinetic']",https://scp-wiki.wikidot.com/scp-128
scp-129,Progressive Fungal Infection,Keter,84,"['biohazard', 'contagion', 'fungus', 'rewrite', 'species', 'transfiguration']",https://scp-wiki.wikidot.com/scp-129
scp-130,Post Office,Euclid,80,"['building', 'document', 'ectoentropic', 'entropic']",https://scp-wiki.wikidot.com/scp-130
scp-131,"The ""Eye Pods""",Safe,1060,"['autonomous', 'empathic', 'sculpture', 'the-sculpture']",https://scp-wiki.wikidot.com/scp-131
scp-132,Broken Desert,Safe,291,"['polyhedral', 'visual']",https://scp-wiki.wikidot.com/scp-132
scp-133,Instant Hole,Safe,213,"['artifact', 'ectoentropic', 'entropic', 'factory', 'rewrite']",https://scp-wiki.wikidot.com/scp-133
scp-134,Star-Eyed Child,Safe,381,"['alive', 'humanoid', 'ocular', 'portal', 'rewrite', 'sapient']",https://scp-wiki.wikidot.com/scp-134
scp-135,Universal Carcinogen,Euclid,254,"['biohazard', 'biological', 'humanoid', 'indestructible', 'self-repairing', 'transfiguration']",https://scp-wiki.wikidot.com/scp-135
scp-136,Naked Doll,Euclid,278,"['cognitohazard', 'meta', 'metamorphic', 'mind-affecting', 'self-repairing', 'toy', 'visual']",https://scp-wiki.wikidot.com/scp-136
scp-137,The Real Toy,Euclid,289,"['autonomous', 'co-authored', 'meta', 'metamorphic', 'toy']",https://scp-wiki.wikidot.com/scp-137
scp-138,The Ever-Living Man,Safe,344,"['alive', 'humanoid', 'indestructible', 'sapient']",https://scp-wiki.wikidot.com/scp-138
scp-139,All Eyes on Lucian 👁,Esoteric-class,218,"['cadaver', 'eric', 'humanoid', 'infohazard', 'meta', 'ocular', 'reanimation']",https://scp-wiki.wikidot.com/scp-139
scp-140,An Incomplete Chronicle,Keter,1618,"['autonomous', 'blood', 'daevite', 'document', 'historical', 'k-class-scenario']",https://scp-wiki.wikidot.com/scp-140
scp-141,Codex Damnatio,Safe,162,"['document', 'historical', 'memory-affecting', 'mind-affecting']",https://scp-wiki.wikidot.com/scp-141
scp-142,One-Armed Bandit,Safe,170,"['compulsion', 'ectoentropic', 'entropic', 'game', 'mind-affecting', 'tactile']",https://scp-wiki.wikidot.com/scp-142
scp-143,The Bladewood Grove,Euclid,441,"['alive', 'event-featured', 'featured', 'plant', 'species', 'tree']",https://scp-wiki.wikidot.com/scp-143
scp-144,Tibetan Rope to Heaven,Safe,402,"['location', 'structure']",https://scp-wiki.wikidot.com/scp-144
